Codigo_asignatura,Nombre,Créditos,Curso,Cuatrimestre,Tipo de asignatura,Semana,Actividad,Tipo de actividad
17881,Hojas de cálculo. Nivel avanzado,1.5,3o,2oCuatrimestre,Obligatoria,13,"Entrega de caso final práctico (incluyendo presentación y/o video de demo)Nota: considere el número absoluto de semana en el cuatrimestre.Final project delivery (including presentation and/or video)Remark: consider the absolute number of the week within the semester.",Práctica
18179,Desarrollo de Software,6.0,2o,2oCuatrimestre,Formación Básica,3,"TEST 1. Aspectos éticos y legales en la profesión de Ingeniería del SoftwareTEST 1. Legal and ethical issues in the profession of Software Engineering",Examen
18179,Desarrollo de Software,6.0,2o,2oCuatrimestre,Formación Básica,3,"Ejercicio Guiado 1. Aspectos Éticos y Legales de la profesión de Ingeniería del Software.Guided Exercise 1. Legal and ethical issues in the profession of Software Engineering",Ejercicio
18179,Desarrollo de Software,6.0,2o,2oCuatrimestre,Formación Básica,5,"TEST 2. Prácticas genéricas del desarrollo ágil.TEST 2. Agile Software Development Techniques.",Práctica
18179,Desarrollo de Software,6.0,2o,2oCuatrimestre,Formación Básica,7,"TEST 3. Desarrollo Dirigido por Pruebas, Clases de Equivalencia y Valores LímiteTEST 3. Test Driven Development, Equivalence Classes and Boundary Values",Examen
18179,Desarrollo de Software,6.0,2o,2oCuatrimestre,Formación Básica,9,"Ejercicio Guiado 2. Propiedad Colectiva de código y estándar de codificación. Desarrollo dirigido por pruebas y técnicas de prueba.Guided Exercise 2. Collective code ownership & Coding Standards. Test Driven Development & testing techniques.",Ejercicio
18179,Desarrollo de Software,6.0,2o,2oCuatrimestre,Formación Básica,11,"TEST 4. Análisis sintáctico y pruebas estructuralesTEST 4. Syntax Analysis and structural testing",Examen
19472,Sistemas Interactivos y Ubicuos,6.0,3o,2oCuatrimestre,Obligatoria,4,"Entrega primer ejercicio de programación de sistemas ubicuosSubmission of the first exercise of ubiquitous systems programming",Ejercicio
19472,Sistemas Interactivos y Ubicuos,6.0,3o,2oCuatrimestre,Obligatoria,8,"Entrega segundo ejercicio de programación de sistemas ubicuosSubmission of the second exercise of ubiquitous systems programming",Ejercicio
19472,Sistemas Interactivos y Ubicuos,6.0,3o,2oCuatrimestre,Obligatoria,6,"Entrega P1 (Ideación y diseño)Submission of P1 (Ideation and design)",Práctica
19472,Sistemas Interactivos y Ubicuos,6.0,3o,2oCuatrimestre,Obligatoria,11,"Entrega P2 (Prototipado)Submission of P2 (Prototyping)",Práctica
19472,Sistemas Interactivos y Ubicuos,6.0,3o,2oCuatrimestre,Obligatoria,14,"Entrega P3 (Evaluación) y defensa del proyectoSubmission of P3 (Evaluation) and defense of the project",Práctica
19476,Fundamentos de internet de las cosas,6.0,4o,2oCuatrimestre,Obligatoria,2,Cuaderno de Ejercicios 1 / Workbook 1 Delivery,Ejercicio
19476,Fundamentos de internet de las cosas,6.0,4o,2oCuatrimestre,Obligatoria,8,Cuaderno de Ejercicios 2 / Workbook 2 Delivery,Ejercicio
19476,Fundamentos de internet de las cosas,6.0,4o,2oCuatrimestre,Obligatoria,14,Cuaderno de Ejercicios 3 / Workbook 3 Delivery,Ejercicio
